"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"11392","Sc_g10906: triacylglycerol lipase 1-like isoform X2","Sc_g10906",""," hydrolase activity, hydrolase activity, acting on ester bonds","lipid metabolic process, lipid catabolic process",612
"11393","Sc_g10907: F-box/kelch-repeat protein At5g15710-like","Sc_g10907","","protein binding","",1125
"11394","Sc_g10908: F-box/kelch-repeat protein At5g43190","Sc_g10908","","ubiquitin-protein transferase activity, protein binding"," SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",189
"11395","Sc_g10909: disease resistance protein TAO1-like","Sc_g10909",""," ADP binding","signal transduction",371
"11396","Sc_g10910: protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 1-like","Sc_g10910","","protein binding","",1110
"11397","Sc_g10911: malonate--CoA ligase-like","Sc_g10911","","ligase activity","",552
"11398","Sc_g10912: malonate--CoA ligase-like","Sc_g10912","nucleus, mitochondrion, cytosol, membrane"," malonyl-CoA synthetase activity"," fatty acid biosynthetic process, malonate catabolic process",663
"11399","Sc_g10913: malonyl-CoA decarboxylase, mitochondrial isoform X2","Sc_g10913",""," oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen, metal ion binding, malonyl-CoA decarboxylase activity","fatty acid biosynthetic process, oxidation-reduction process",1197
"11400","Sc_g10914: disease resistance protein (TIR-NBS-LRR class)","Sc_g10914","","protein binding","",1566
"11401","Sc_g10915: protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 1-like","Sc_g10915","","protein binding","",735
"11402","Sc_g10916: malonyl-CoA decarboxylase, mitochondrial-like isoform X3","Sc_g10916",""," malonyl-CoA decarboxylase activity","fatty acid biosynthetic process",402
"11403","Sc_g10917: malonyl-CoA decarboxylase, mitochondrial isoform X2","Sc_g10917",""," oxidoreductase activity, malonyl-CoA decarboxylase activity","fatty acid biosynthetic process",1233
"11404","Sc_g10918: malonate--CoA ligase-like","Sc_g10918"," membrane","catalytic activity","",657
"11405","Sc_g10919: RNA pseudouridine synthase 4, mitochondrial isoform X2","Sc_g10919",""," RNA binding, pseudouridine synthase activity","pseudouridine synthesis",1017
"11406","Sc_g10920: protein TIC 62, chloroplastic","Sc_g10920","chloroplast stroma, chloroplast envelope","","",1213
"11407","Sc_g10921: Vacuolar amino acid transporter 1","Sc_g10921","integral component of membrane","","",2233
"11408","Sc_g10922: F-box/kelch-repeat protein At5g15710-like isoform X1","Sc_g10922","","protein binding","",738
"11409","Sc_g10923: F-box/kelch-repeat protein At5g15710-like isoform X1","Sc_g10923","","protein binding","",273
"11410","Sc_g10924: copper transport protein ATX1","Sc_g10924",""," metal ion binding","metal ion transport",1262
"11411","Sc_g10925: V-type proton ATPase 16 kDa proteolipid subunit","Sc_g10925","vacuolar membrane, integral component of membrane, proton-transporting V-type ATPase, V0 domain"," proton-transporting ATPase activity, rotational mechanism"," ATP hydrolysis coupled proton transport",963
"11412","Sc_g10926: WAT1-related protein At3g02690, chloroplastic","Sc_g10926","integral component of membrane","","",1071
"11413","Sc_g10927: ABC transporter B family member 29, chloroplastic","Sc_g10927"," chloroplast envelope, integral component of membrane","ATP binding, ATPase activity, coupled to transmembrane movement of substances"," transmembrane transport",2076
"11414","Sc_g10928: hypothetical protein KFL_002590070","Sc_g10928","","","",1134
"11415","Sc_g10929: mitochondrial arginine transporter BAC2-like","Sc_g10929"," integral component of membrane"," cation transmembrane transporter activity, basic amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity, drug transmembrane transporter activity","acyl carnitine transport, drug transmembrane transport, cation transmembrane transport, L-alpha-amino acid transmembrane transport",1504
"11416","Sc_g10930: probable pectate lyase 5","Sc_g10930","","lyase activity","",2937
"11417","Sc_g10931: SMP-30/gluconolaconase/LRE-like region protein","Sc_g10931","endoplasmic reticulum","","",1639
"11418","Sc_g10932: RNA-binding protein 28","Sc_g10932","","RNA binding","",3116
"11419","Sc_g10933: uncharacterized protein LOC112295658","Sc_g10933","","","",1769
"11420","Sc_g10933: uncharacterized protein LOC112295658","Sc_g10933","","","",1634
"11421","Sc_g10934: 40S ribosomal protein S3a-2-like","Sc_g10934"," cytosolic small ribosomal subunit"," structural constituent of ribosome, tRNA dihydrouridine synthase activity, flavin adenine dinucleotide binding","tRNA dihydrouridine synthesis, translation, oxidation-reduction process",921
"11422","Sc_g10935: uncharacterized protein LOC112274471","Sc_g10935","","protein binding","",2277
"11423","Sc_g10936: uncharacterized protein LOC112295628","Sc_g10936"," integral component of membrane","acetylglucosaminyltransferase activity","",1140
"11424","Sc_g10937: uncharacterized protein LOC112295354","Sc_g10937","integral component of membrane","","",1407
"11425","Sc_g10938: putative LOV domain-containing protein","Sc_g10938"," nucleus, cytoplasm, plasma membrane","phosphorelay sensor kinase activity, protein serine/threonine kinase activity, ATP binding"," phosphorelay signal transduction system, signal transduction by protein phosphorylation",2073
"11426","Sc_g10939: disease resistance protein TAO1-like","Sc_g10939","","protein binding","",1146
"11427","Sc_g10940: uncharacterized protein LOC112295508","Sc_g10940","membrane","","",1896
"11428","Sc_g10941: glucosidase 2 subunit beta","Sc_g10941"," endoplasmic reticulum","protein binding"," N-glycan processing, defense response to bacterium",2171
"11429","Sc_g10942: ---NA---","Sc_g10942","","","",78
"11430","Sc_g10943: uncharacterized protein LOC112274359","Sc_g10943","","","",3217
"11431","Sc_g10944: zinc finger SWIM domain-containing protein 7","Sc_g10944"," nucleus, Shu complex"," zinc ion binding, transcription regulatory region DNA binding","double-strand break repair via homologous recombination, defense response to bacterium",393
"11432","Sc_g10945: probable pectinesterase/pectinesterase inhibitor 41","Sc_g10945"," extracellular region, cell wall, integral component of membrane","enzyme inhibitor activity, pectinesterase activity, aspartyl esterase activity"," cell wall modification, negative regulation of catalytic activity, pectin catabolic process",768
"11433","Sc_g10946: ABC transporter G family member 28-like isoform X2","Sc_g10946","","ATP binding, ATPase activity","",3299
"11434","Sc_g10947: adenine DNA glycosylase","Sc_g10947","","DNA binding, hydrolase activity"," base-excision repair",1641
"11435","Sc_g10948: hypothetical protein PHYPA_022681","Sc_g10948","","","",624
"11436","Sc_g10949: cytochrome P450 71A1-like","Sc_g10949"," integral component of membrane","iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, heme binding"," oxidation-reduction process",1581
"11437","Sc_g10950: Histone H4","Sc_g10950","nucleosome, nucleus"," DNA binding, protein heterodimerization activity"," nucleosome assembly, DNA-templated transcription, initiation",261
"11438","Sc_g10951: hypothetical protein PHYPA_023946","Sc_g10951","","","",222
"11439","Sc_g10952: protein root UVB sensitive 1, chloroplastic","Sc_g10952","mitochondrion, chloroplast envelope",""," response to UV-B, developmental process",2138
"11440","Sc_g10953: WD repeat-containing protein LWD1","Sc_g10953"," nucleus","protein binding","",1515
"11441","Sc_g10954: B3 domain-containing transcription factor VRN1-like","Sc_g10954"," nucleus","DNA binding"," regulation of biological process",1776
"11442","Sc_g10955: ferredoxin--NADP reductase, embryo isozyme, chloroplastic","Sc_g10955"," chloroplast","ferredoxin-NADP+ reductase activity"," photosynthesis, oxidation-reduction process",1122
"11443","Sc_g10956: binding partner of ACD11 1-like","Sc_g10956","","RNA binding","",1386
"11444","Sc_g10957: hypothetical protein PHYPA_007466","Sc_g10957","","","",321
"11445","Sc_g10958: WD repeat-containing protein 53","Sc_g10958","","protein binding","",1233
"11446","Sc_g10959: putative SOS response-associated peptidase YoqW isoform X1","Sc_g10959","","","",1474
"11447","Sc_g10960: retinoblastoma-related protein-like","Sc_g10960"," Rb-E2F complex"," transcription factor binding","regulation of transcription by RNA polymerase II, apoptotic process, negative regulation of cell population proliferation, cell differentiation, negative regulation of transcription, DNA-templated, gametophyte development, negative regulation of G1/S transition of mitotic cell cycle",4087
"11448","Sc_g10961: acyltransferase-like protein At3g26840, chloroplastic","Sc_g10961","","transferase activity, transferring acyl groups","",1380
"11449","Sc_g10962: probable glycosyltransferase At3g07620","Sc_g10962"," integral component of membrane"," transferase activity, transferring glycosyl groups","protein glycosylation",564
"11450","Sc_g10963: probable glycosyltransferase At5g25310","Sc_g10963"," integral component of membrane"," transferase activity, transferring glycosyl groups","protein glycosylation",498
"11451","Sc_g10964: probable glucan endo-1,3-beta-glucosidase A6","Sc_g10964","","hydrolase activity, hydrolyzing O-glycosyl compounds"," carbohydrate metabolic process",1134
"11452","Sc_g10965: carbonic anhydrase","Sc_g10965","","carbonate dehydratase activity, zinc ion binding","",762
"11453","Sc_g10966: autophagy-related protein 11-like","Sc_g10966","","","autophagosome assembly, autophagy of mitochondrion",3639
"11454","Sc_g10967: ---NA---","Sc_g10967","","","",501
"11455","Sc_g10968: uncharacterized protein LOC112284403","Sc_g10968","","","",720
"11456","Sc_g10969: photosystem II reaction center W protein, chloroplastic-like","Sc_g10969","chloroplast, photosystem II, integral component of membrane",""," photosynthesis",642
"11457","Sc_g10970: uncharacterized protein LOC112295940","Sc_g10970","","","",780
"11458","Sc_g10971: EEF1A lysine methyltransferase 4-like isoform X1","Sc_g10971","","methyltransferase activity"," methylation",1042
"11459","Sc_g10972: F-box/kelch-repeat protein At5g15710-like","Sc_g10972","","ubiquitin-protein transferase activity, protein binding"," protein ubiquitination, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",1101
"11460","Sc_g10973: RHOMBOID-like protein 13","Sc_g10973"," integral component of membrane","serine-type endopeptidase activity"," proteolysis",768
"11461","Sc_g10974: probable cation transporter HKT9","Sc_g10974",""," cation transmembrane transporter activity","cation transport, transmembrane transport",1899
"11462","Sc_g10975: increased DNA methylation 2-like","Sc_g10975","nucleus",""," histone H3-K18 acetylation, DNA demethylation, positive regulation of DNA demethylation",1365
"11463","Sc_g10976: tonoplast dicarboxylate transporter","Sc_g10976"," membrane","transporter activity"," sodium ion transport, transmembrane transport",2102
"11464","Sc_g10977: probable xyloglucan 6-xylosyltransferase 5","Sc_g10977","endosome, trans-Golgi network, integral component of membrane"," transferase activity, transferring glycosyl groups"," xyloglucan biosynthetic process",2297
"11465","Sc_g10977: probable xyloglucan 6-xylosyltransferase 5","Sc_g10977","integral component of membrane"," transferase activity, transferring glycosyl groups","",1091
"11466","Sc_g10978: tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A","Sc_g10978","nucleus, tRNA (m1A) methyltransferase complex"," tRNA (adenine-N1-)-methyltransferase activity"," tRNA methylation",960
"11467","Sc_g10979: gem-associated protein 2-like","Sc_g10979"," nucleus, cytoplasm, SMN complex","","spliceosomal snRNP assembly",1804
"11468","Sc_g10980: ARM repeat-containing","Sc_g10980"," nuclear membrane, nuclear periphery"," nuclear localization sequence binding","NLS-bearing protein import into nucleus, ribosomal protein import into nucleus",2153
"11469","Sc_g10981: putative methyltransferase DDB_G0268948","Sc_g10981","","methyltransferase activity","",792
"11470","Sc_g10982: putative methyltransferase DDB_G0268948","Sc_g10982","","methyltransferase activity","",1173
"11471","Sc_g10983: transport and Golgi organization protein 6 homolog isoform X1","Sc_g10983","","","",1929
"11472","Sc_g10984: trihelix transcription factor ASR3-like","Sc_g10984","membrane, integral component of membrane","","",1014
"11473","Sc_g10985: glutathione S-transferase F9","Sc_g10985"," cytoplasm","glutathione transferase activity, protein binding"," glutathione metabolic process",660
"11474","Sc_g10986: mitogen-activated protein kinase kinase kinase YODA-like","Sc_g10986"," integral component of membrane","protein kinase activity, ATP binding"," protein phosphorylation, regulation of cellular process",1374
"11475","Sc_g10987: uncharacterized protein LOC112273667","Sc_g10987","","","",766
"11476","Sc_g10988: DNA-directed RNA polymerase IV seventh largest subunit","Sc_g10988"," P-body, RNA polymerase II, core complex"," single-stranded DNA binding, single-stranded RNA binding, DNA-directed 5'-3' RNA polymerase activity, translation initiation factor binding","nuclear-transcribed mRNA catabolic process, exonucleolytic, transcription initiation from RNA polymerase II promoter, positive regulation of translational initiation, positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",558
